class,precision,recall,f1-score,support,accuracy
0,0.9522388059701492,0.9232995658465991,0.9375459221160911,691.0,0.938095
1,0.9529085872576177,0.9515905947441217,0.9522491349480969,723.0,0.938095
2,0.9096045197740112,0.9387755102040817,0.9239598278335724,686.0,0.938095
macro avg,0.9382506376672595,0.9378885569316009,0.93791829496592,2100.0,0.938095
weighted avg,0.9385422019417154,0.9380952380952381,0.9381699041159638,2100.0,0.938095
